word,frequency
London,1.0
weather,0.8620689655172413
RT,0.7586206896551724
support,0.3448275862068966
Thursday London,0.3103448275862069
Weather Summary,0.3103448275862069
Summary brought,0.3103448275862069
NevGsLondonWeatherSummary Thank,0.3103448275862069
tractors,0.2413793103448276
action,0.20689655172413793
happening,0.20689655172413793
amp,0.20689655172413793
gathered,0.20689655172413793
farmers amp,0.20689655172413793
York North,0.1724137931034483
North Yorkshire,0.1724137931034483
wind,0.13793103448275862
cold,0.13793103448275862
choose,0.13793103448275862
live,0.13793103448275862
youre successful,0.13793103448275862
dont see,0.13793103448275862
dangerous Shit,0.13793103448275862
Miserable people,0.13793103448275862
12th,0.10344827586206896
rain,0.10344827586206896
builds,0.06896551724137931
character,0.06896551724137931
Id,0.06896551724137931
rather,0.06896551724137931
warm,0.06896551724137931
toes,0.06896551724137931
Cheers,0.06896551724137931
reminder,0.06896551724137931
current,0.06896551724137931
overcast,0.06896551724137931
5C,0.06896551724137931
humidity,0.06896551724137931
6kmh,0.06896551724137931
pressure,0.06896551724137931
1030mb,0.06896551724137931
Avoid,0.06896551724137931
getting,0.06896551724137931
sick,0.06896551724137931
Mate,0.06896551724137931
already,0.06896551724137931
caught,0.06896551724137931
thinking,0.06896551724137931
14th,0.06896551724137931
December,0.06896551724137931
torrid,0.06896551724137931
period,0.06896551724137931
Kent,0.06896551724137931
eastern,0.06896551724137931
southern,0.06896551724137931
England,0.06896551724137931
Margate,0.06896551724137931
around,0.06896551724137931
25mm,0.06896551724137931
strong,0.06896551724137931
Eeew,0.06896551724137931
frizzy,0.06896551724137931
hair,0.06896551724137931
today,0.06896551724137931
hope,0.06896551724137931
brighter,0.06896551724137931
Town,0.06896551724137931
UK,0.06896551724137931
Christmas,0.06896551724137931
lights,0.06896551724137931
dont,0.034482758620689655
farmers,0.034482758620689655
York,0.034482758620689655
o,0.034482758620689655
fell,0.034482758620689655
daily,0.034482758620689655
record,0.034482758620689655
dark,0.034482758620689655
skies,0.034482758620689655
Oxford,0.034482758620689655
Dungeness,0.034482758620689655
Yarmouth,0.034482758620689655
heavy,0.034482758620689655
gales,0.034482758620689655
need,0.034482758620689655
Lavia,0.034482758620689655
depth,0.034482758620689655
Heatforhire,0.034482758620689655
many,0.034482758620689655
going,0.034482758620689655
SW3,0.034482758620689655
SW6,0.034482758620689655
E10,0.034482758620689655
Docklands,0.034482758620689655
DANAGE,0.034482758620689655
KIDS,0.034482758620689655
ADULTS,0.034482758620689655
LUNGS,0.034482758620689655
NOW,0.034482758620689655
ALUMINIUM,0.034482758620689655
NANO,0.034482758620689655
PARTICLES,0.034482758620689655
GEO,0.034482758620689655
ENGINEERING,0.034482758620689655
INDUCE,0.034482758620689655
KEEP,0.034482758620689655
CLOUDY,0.034482758620689655
CANOPY,0.034482758620689655
Paediatrician,0.034482758620689655
great,0.034482758620689655
day,0.034482758620689655
hundred,0.034482758620689655
Westminster,0.034482758620689655
Less,0.034482758620689655
March,0.034482758620689655
conservatives,0.034482758620689655
upset,0.034482758620689655
difficult,0.034482758620689655
time,0.034482758620689655
Brexit,0.034482758620689655
last,0.034482758620689655
years,0.034482758620689655
manipulated,0.034482758620689655
IHT,0.034482758620689655
widespread,0.034482758620689655
CONNECTICUT,0.034482758620689655
Flood,0.034482758620689655
Warning,0.034482758620689655
New,0.034482758620689655
County,0.034482758620689655
nbcct,0.034482758620689655
ctwx,0.034482758620689655
Mountains,0.034482758620689655
clouds,0.034482758620689655
Europe,0.034482758620689655
Arriving,0.034482758620689655
flights,0.034482758620689655
delayed,0.034482758620689655
Amsterdam,0.034482758620689655
Barcelona,0.034482758620689655
City,0.034482758620689655
airports,0.034482758620689655
conditions,0.034482758620689655
normal,0.034482758620689655
Chilly,0.034482758620689655
crisp,0.034482758620689655
morning,0.034482758620689655
hosing,0.034482758620689655
happy,0.034482758620689655
retweets,0.034482758620689655
likes,0.034482758620689655
SagittariusSeason,0.034482758620689655
ChristmasJumperDay2024,0.034482758620689655
HappyThursday,0.034482758620689655
